Date,High,Low,Open,Close,Volume,Adj Close
4/26/2019,1951,1898,1929,1950.630005,8432600,1950.630005
4/29/2019,1956.339966,1934.089966,1949,1938.430054,4021300,1938.430054
4/30/2019,1935.709961,1906.949951,1930.099976,1926.52002,3506000,1926.52002
5/1/2019,1943.640015,1910.550049,1933.089966,1911.52002,3117000,1911.52002
5/2/2019,1921.550049,1881.869995,1913.329956,1900.819946,3962900,1900.819946
5/3/2019,1964.400024,1936,1949,1962.459961,6381600,1962.459961
5/6/2019,1959,1910.5,1917.97998,1950.550049,5417800,1950.550049
5/7/2019,1949.099976,1903.380005,1939.98999,1921,5902100,1921
5/8/2019,1935.369995,1910,1918.869995,1917.77002,4078600,1917.77002
5/9/2019,1909.400024,1876,1900,1899.869995,5308300,1899.869995
5/10/2019,1903.790039,1856,1898,1889.97998,5718000,1889.97998
5/13/2019,1846.540039,1818,1836.560059,1822.680054,5783400,1822.680054
5/14/2019,1852.439941,1815.75,1839.5,1840.119995,4629100,1840.119995
5/15/2019,1874.430054,1823,1827.949951,1871.150024,4692600,1871.150024
5/16/2019,1917.51001,1882.290039,1885.939941,1907.569946,4707800,1907.569946
5/17/2019,1910.530029,1867.329956,1893.050049,1869,4736600,1869
5/20/2019,1867.780029,1835.540039,1852.689941,1858.969971,3798200,1858.969971
5/21/2019,1879,1846,1874.790039,1857.52002,4005100,1857.52002
5/22/2019,1871.48999,1851,1851.780029,1859.680054,2936600,1859.680054
5/23/2019,1844,1804.199951,1836.589966,1815.47998,4424300,1815.47998
5/24/2019,1841.76001,1817.849976,1835.890015,1823.280029,3369700,1823.280029
5/28/2019,1849.27002,1827.349976,1832.75,1836.430054,3200000,1836.430054
5/29/2019,1830,1807.530029,1823.119995,1819.189941,4279000,1819.189941
5/30/2019,1829.469971,1807.829956,1825.48999,1816.319946,3146900,1816.319946
5/31/2019,1795.589966,1772.699951,1790.01001,1775.069946,4618800,1775.069946
6/3/2019,1766.290039,1672,1760.01001,1692.689941,9098700,1692.689941
6/4/2019,1730.819946,1680.890015,1699.23999,1729.560059,5679100,1729.560059
6/5/2019,1752,1715.25,1749.599976,1738.5,4239800,1738.5
6/6/2019,1760,1726.130005,1737.709961,1754.359985,3689300,1754.359985
6/7/2019,1806.25,1759.48999,1763.699951,1804.030029,4808200,1804.030029
6/10/2019,1884.869995,1818,1822,1860.630005,5371000,1860.630005
6/11/2019,1893.699951,1858,1883.25,1863.699951,4042700,1863.699951
6/12/2019,1865,1844.380005,1853.97998,1855.319946,2678300,1855.319946
6/13/2019,1883.089966,1862.219971,1866.719971,1870.300049,2795800,1870.300049
6/14/2019,1876,1859,1864,1869.670044,2851200,1869.670044
6/17/2019,1895.689941,1875.449951,1876.5,1886.030029,2634300,1886.030029
6/18/2019,1921.670044,1899.790039,1901.349976,1901.369995,3895700,1901.369995
6/19/2019,1919.579956,1892.469971,1907.839966,1908.790039,2895300,1908.790039
6/20/2019,1935.199951,1905.800049,1933.329956,1918.189941,3183400,1918.189941
